id,start_loc,goal_loc,Usage
71,"[(2, 3), (1, 3), (4, 4), (4, 2), (2, 0), (0, 0), (3, 2)]","[(4, 1), (0, 4), (2, 1), (1, 0), (1, 2), (2, 3), (1, 4)]",Public
72,"[(0, 2), (2, 1), (4, 0), (2, 3), (4, 3), (1, 1), (0, 3)]","[(2, 3), (1, 1), (4, 1), (0, 3), (1, 3), (3, 1), (4, 4)]",Public
73,"[(0, 2), (2, 2), (1, 2), (0, 4), (2, 0), (3, 4), (3, 0)]","[(1, 0), (2, 1), (3, 1), (4, 3), (1, 4), (0, 3), (4, 2)]",Public
74,"[(1, 4), (4, 1), (1, 3), (4, 3), (4, 2), (4, 4), (1, 0)]","[(2, 3), (3, 1), (0, 0), (1, 1), (1, 0), (4, 2), (0, 2)]",Public
75,"[(4, 0), (3, 3), (0, 2), (2, 2), (2, 3), (1, 0), (3, 4)]","[(0, 3), (3, 3), (1, 4), (0, 4), (4, 4), (0, 1), (3, 4)]",Public
76,"[(0, 1), (0, 3), (1, 3), (1, 2), (4, 4), (2, 0), (2, 3)]","[(1, 4), (1, 3), (4, 2), (4, 0), (2, 1), (3, 1), (0, 1)]",Public
77,"[(1, 4), (1, 3), (3, 2), (0, 2), (4, 0), (4, 1), (2, 2)]","[(3, 2), (4, 4), (3, 4), (0, 1), (1, 4), (1, 2), (3, 0)]",Public
78,"[(4, 2), (3, 3), (0, 3), (1, 4), (1, 0), (4, 0), (1, 1)]","[(3, 0), (3, 3), (4, 4), (1, 1), (1, 0), (3, 4), (1, 4)]",Public
79,"[(1, 3), (1, 2), (4, 3), (3, 4), (4, 4), (2, 0), (3, 0)]","[(0, 3), (4, 0), (4, 1), (0, 0), (0, 2), (2, 0), (3, 4)]",Public
80,"[(1, 3), (1, 1), (1, 0), (0, 3), (4, 1), (0, 4), (4, 4)]","[(2, 3), (3, 0), (4, 4), (2, 1), (3, 1), (1, 0), (3, 2)]",Public
81,"[(0, 4), (3, 0), (4, 0), (3, 3), (1, 1), (2, 4), (2, 0)]","[(1, 0), (2, 1), (0, 0), (4, 1), (4, 2), (3, 4), (2, 2)]",Public
82,"[(0, 0), (3, 1), (3, 0), (4, 0), (2, 3), (4, 4), (0, 2)]","[(1, 0), (1, 4), (3, 0), (2, 3), (3, 1), (2, 2), (1, 1)]",Public
83,"[(2, 2), (2, 1), (3, 4), (0, 4), (0, 2), (3, 1), (4, 1)]","[(2, 3), (2, 0), (2, 2), (2, 1), (4, 3), (3, 3), (1, 3)]",Public
84,"[(2, 1), (4, 2), (4, 3), (2, 3), (4, 1), (3, 3), (3, 1)]","[(4, 3), (3, 3), (1, 2), (3, 4), (2, 1), (1, 3), (3, 2)]",Public
85,"[(0, 0), (0, 3), (4, 1), (2, 4), (1, 4), (4, 2), (3, 3)]","[(0, 0), (2, 3), (3, 4), (4, 1), (0, 1), (2, 0), (3, 1)]",Public
86,"[(2, 3), (0, 0), (4, 1), (0, 4), (3, 1), (0, 1), (3, 2)]","[(0, 2), (4, 0), (3, 0), (1, 0), (1, 4), (1, 1), (2, 2)]",Public
87,"[(0, 2), (4, 3), (4, 1), (1, 4), (3, 3), (2, 0), (4, 4)]","[(4, 0), (4, 1), (3, 0), (1, 3), (2, 2), (3, 3), (0, 0)]",Public
88,"[(1, 3), (3, 3), (3, 0), (1, 1), (0, 2), (4, 4), (4, 2)]","[(4, 2), (1, 1), (1, 0), (3, 0), (3, 2), (2, 0), (4, 3)]",Public
89,"[(1, 1), (3, 0), (3, 3), (0, 1), (1, 0), (0, 4), (1, 4)]","[(0, 3), (1, 1), (1, 3), (4, 4), (3, 4), (2, 0), (3, 2)]",Public
90,"[(2, 2), (2, 4), (4, 1), (3, 4), (0, 4), (4, 0), (1, 4)]","[(2, 2), (2, 1), (0, 1), (2, 0), (3, 4), (0, 3), (3, 3)]",Public
91,"[(1, 1), (4, 1), (4, 3), (4, 4), (2, 0), (2, 2), (1, 2)]","[(4, 2), (1, 3), (0, 2), (1, 0), (4, 1), (1, 1), (3, 0)]",Public
92,"[(0, 4), (1, 4), (0, 3), (3, 0), (2, 3), (1, 1), (2, 2)]","[(0, 3), (4, 3), (2, 4), (3, 4), (0, 4), (0, 0), (2, 2)]",Public
93,"[(1, 1), (3, 4), (0, 0), (1, 2), (4, 4), (2, 2), (1, 4)]","[(2, 4), (0, 1), (0, 2), (1, 2), (4, 4), (3, 2), (2, 1)]",Public
94,"[(1, 3), (1, 0), (4, 3), (1, 1), (1, 2), (2, 0), (4, 4)]","[(2, 3), (1, 2), (3, 1), (0, 3), (0, 4), (2, 2), (1, 3)]",Public
95,"[(1, 3), (3, 2), (3, 4), (3, 0), (0, 3), (2, 2), (0, 4)]","[(0, 1), (2, 3), (3, 1), (3, 3), (0, 3), (3, 4), (2, 2)]",Public
96,"[(3, 3), (2, 3), (1, 1), (3, 1), (0, 3), (4, 4), (0, 1)]","[(4, 2), (0, 2), (3, 1), (1, 2), (1, 1), (3, 4), (1, 3)]",Public
97,"[(1, 1), (0, 2), (1, 0), (3, 1), (0, 4), (0, 0), (3, 3)]","[(2, 4), (0, 4), (3, 2), (3, 1), (2, 2), (1, 1), (2, 3)]",Public
98,"[(1, 3), (3, 1), (2, 3), (0, 1), (3, 0), (1, 2), (2, 0)]","[(1, 1), (3, 0), (4, 1), (4, 4), (4, 3), (3, 3), (2, 1)]",Public
99,"[(3, 2), (4, 3), (1, 3), (0, 0), (1, 2), (4, 0), (0, 3)]","[(4, 2), (1, 1), (0, 4), (0, 1), (2, 0), (3, 0), (0, 0)]",Public
100,"[(3, 1), (1, 1), (0, 0), (4, 4), (0, 4), (3, 2), (0, 3)]","[(0, 0), (4, 0), (3, 3), (2, 0), (4, 2), (0, 4), (2, 4)]",Public
101,"[(2, 2), (0, 1), (4, 4), (0, 2), (3, 1), (3, 2), (4, 0)]","[(1, 4), (4, 0), (1, 1), (0, 1), (2, 2), (0, 2), (1, 3)]",Public
102,"[(4, 3), (0, 0), (0, 4), (1, 1), (2, 4), (4, 4), (0, 1)]","[(0, 2), (4, 4), (0, 1), (1, 1), (4, 2), (1, 3), (1, 0)]",Public
103,"[(1, 3), (4, 1), (2, 2), (0, 1), (0, 3), (4, 4), (0, 2)]","[(0, 3), (2, 0), (1, 0), (4, 1), (2, 2), (2, 4), (3, 2)]",Public
104,"[(3, 3), (1, 2), (0, 0), (2, 2), (4, 1), (1, 0), (3, 0)]","[(4, 1), (0, 3), (3, 0), (3, 3), (2, 2), (3, 4), (1, 4)]",Public
105,"[(0, 4), (2, 4), (2, 1), (2, 2), (3, 4), (3, 1), (1, 4)]","[(2, 4), (1, 4), (3, 4), (4, 2), (1, 1), (0, 4), (3, 0)]",Public
106,"[(1, 3), (2, 4), (4, 3), (4, 2), (3, 4), (0, 3), (4, 0)]","[(1, 1), (3, 4), (4, 4), (0, 0), (3, 1), (1, 0), (4, 1)]",Public
107,"[(0, 3), (3, 3), (3, 1), (2, 4), (2, 3), (2, 2), (1, 2)]","[(3, 3), (4, 1), (3, 1), (1, 2), (1, 3), (0, 3), (2, 4)]",Public
108,"[(2, 4), (2, 0), (0, 3), (2, 3), (4, 4), (1, 1), (3, 2)]","[(0, 3), (1, 2), (1, 3), (2, 2), (3, 3), (4, 0), (3, 0)]",Public
109,"[(0, 1), (2, 3), (3, 2), (2, 4), (4, 0), (4, 3), (0, 2)]","[(2, 3), (2, 2), (0, 3), (1, 4), (1, 3), (0, 1), (4, 2)]",Public
110,"[(1, 1), (4, 1), (2, 2), (0, 1), (4, 4), (1, 3), (0, 0)]","[(2, 0), (3, 1), (3, 3), (4, 1), (4, 4), (1, 0), (1, 3)]",Public
111,"[(0, 3), (4, 3), (1, 1), (1, 2), (4, 1), (4, 2), (3, 0)]","[(3, 0), (2, 3), (0, 3), (3, 3), (2, 2), (0, 1), (1, 0)]",Public
112,"[(0, 3), (2, 4), (2, 1), (0, 2), (2, 3), (3, 2), (4, 0)]","[(0, 0), (2, 1), (3, 2), (2, 0), (4, 2), (0, 2), (3, 4)]",Public
113,"[(2, 1), (1, 4), (0, 4), (2, 3), (0, 2), (1, 2), (0, 1)]","[(3, 4), (1, 0), (2, 2), (2, 3), (0, 2), (0, 3), (4, 3)]",Public
114,"[(4, 2), (2, 4), (4, 1), (2, 0), (3, 4), (4, 4), (1, 1)]","[(2, 4), (1, 0), (0, 3), (4, 0), (1, 2), (3, 1), (0, 4)]",Public
115,"[(1, 0), (2, 1), (4, 3), (4, 2), (0, 1), (1, 4), (0, 4)]","[(0, 1), (4, 2), (3, 0), (1, 2), (3, 3), (4, 4), (3, 1)]",Public
116,"[(1, 0), (3, 3), (3, 0), (3, 2), (1, 2), (1, 4), (2, 0)]","[(4, 4), (2, 2), (2, 4), (1, 4), (1, 2), (4, 0), (0, 0)]",Public
117,"[(0, 4), (4, 4), (0, 3), (1, 4), (2, 2), (0, 2), (0, 0)]","[(3, 2), (4, 0), (4, 1), (4, 2), (2, 4), (2, 3), (0, 3)]",Public
118,"[(3, 0), (4, 4), (4, 3), (0, 1), (1, 1), (1, 2), (1, 3)]","[(1, 2), (1, 1), (0, 4), (4, 3), (3, 1), (2, 2), (1, 4)]",Public
119,"[(1, 3), (3, 2), (0, 2), (3, 4), (1, 2), (1, 0), (4, 0)]","[(3, 1), (1, 1), (2, 3), (4, 1), (1, 3), (0, 1), (1, 0)]",Public
120,"[(0, 1), (3, 1), (2, 1), (3, 2), (0, 4), (1, 1), (2, 2)]","[(0, 4), (4, 0), (1, 4), (4, 4), (2, 3), (4, 1), (2, 1)]",Public
121,"[(3, 3), (2, 2), (1, 3), (0, 3), (2, 3), (3, 1), (2, 0)]","[(3, 4), (0, 0), (4, 4), (1, 2), (2, 3), (0, 3), (1, 1)]",Public
122,"[(3, 1), (4, 0), (1, 0), (2, 2), (2, 1), (3, 3), (3, 2)]","[(0, 1), (4, 2), (3, 3), (3, 2), (2, 4), (2, 0), (2, 2)]",Public
123,"[(2, 3), (2, 0), (3, 3), (0, 3), (0, 0), (2, 2), (4, 0)]","[(2, 3), (4, 1), (0, 3), (4, 4), (1, 2), (2, 1), (2, 2)]",Public
124,"[(2, 1), (2, 3), (3, 2), (1, 1), (3, 0), (0, 0), (2, 4)]","[(2, 1), (2, 3), (3, 2), (4, 3), (1, 1), (1, 2), (2, 4)]",Public
125,"[(1, 1), (2, 0), (1, 4), (0, 3), (2, 2), (3, 2), (4, 3)]","[(2, 3), (0, 1), (2, 0), (3, 1), (0, 2), (3, 3), (4, 4)]",Public
126,"[(3, 1), (4, 2), (0, 2), (0, 1), (2, 2), (3, 2), (4, 4)]","[(0, 0), (4, 2), (2, 3), (1, 2), (2, 1), (4, 4), (0, 4)]",Public
127,"[(4, 2), (2, 0), (0, 0), (4, 0), (1, 2), (1, 0), (1, 3)]","[(4, 1), (3, 1), (2, 3), (1, 4), (0, 0), (3, 4), (3, 2)]",Public
128,"[(3, 0), (4, 1), (1, 4), (4, 0), (1, 2), (0, 3), (2, 4)]","[(0, 2), (2, 1), (0, 0), (4, 2), (1, 1), (1, 0), (3, 2)]",Public
129,"[(4, 0), (3, 3), (1, 0), (4, 2), (0, 1), (2, 3), (1, 2)]","[(2, 4), (1, 2), (4, 2), (0, 1), (0, 0), (1, 3), (1, 1)]",Public
130,"[(4, 1), (0, 0), (2, 1), (0, 2), (2, 0), (1, 0), (3, 1)]","[(1, 3), (1, 0), (4, 2), (2, 0), (4, 3), (2, 1), (0, 1)]",Public
131,"[(2, 3), (0, 0), (1, 2), (0, 2), (3, 2), (2, 1), (2, 0)]","[(3, 0), (1, 4), (4, 3), (0, 1), (2, 4), (4, 4), (1, 3)]",Public
132,"[(1, 3), (3, 0), (3, 3), (0, 2), (0, 4), (2, 2), (4, 2)]","[(2, 4), (2, 2), (4, 1), (4, 4), (0, 0), (4, 2), (1, 1)]",Public
133,"[(4, 1), (3, 2), (3, 1), (3, 4), (1, 2), (3, 3), (3, 0)]","[(1, 4), (2, 1), (3, 3), (0, 3), (0, 0), (4, 3), (0, 4)]",Public
134,"[(2, 1), (1, 4), (4, 4), (0, 3), (0, 1), (2, 3), (3, 4)]","[(1, 0), (2, 0), (2, 3), (3, 4), (0, 4), (2, 4), (4, 0)]",Public
135,"[(2, 4), (0, 4), (3, 1), (2, 0), (2, 2), (1, 2), (4, 1)]","[(1, 3), (2, 0), (2, 1), (0, 2), (2, 2), (3, 1), (4, 0)]",Public
136,"[(0, 4), (0, 3), (0, 2), (2, 3), (2, 2), (3, 4), (4, 4)]","[(4, 1), (1, 0), (4, 4), (1, 3), (3, 1), (2, 3), (3, 2)]",Public
137,"[(1, 1), (2, 0), (0, 2), (0, 3), (4, 2), (2, 2), (4, 4)]","[(1, 4), (2, 1), (4, 1), (1, 3), (2, 0), (4, 4), (4, 0)]",Public
138,"[(4, 3), (3, 3), (2, 1), (0, 4), (4, 2), (3, 4), (0, 1)]","[(2, 0), (2, 3), (0, 3), (3, 3), (4, 2), (3, 1), (3, 0)]",Public
139,"[(1, 4), (2, 1), (4, 2), (0, 0), (4, 3), (1, 0), (3, 4)]","[(4, 1), (1, 4), (1, 0), (2, 2), (0, 3), (1, 3), (4, 2)]",Public
140,"[(4, 0), (3, 3), (2, 0), (0, 0), (1, 1), (3, 4), (1, 2)]","[(1, 1), (0, 1), (3, 0), (4, 0), (1, 2), (4, 3), (0, 3)]",Public
141,"[(4, 2), (4, 1), (3, 2), (0, 1), (3, 4), (1, 2), (3, 1)]","[(4, 0), (3, 0), (3, 3), (3, 4), (0, 0), (0, 1), (2, 2)]",Public
142,"[(3, 0), (0, 1), (1, 2), (0, 3), (2, 3), (4, 4), (1, 0)]","[(3, 2), (3, 0), (1, 4), (2, 0), (4, 0), (3, 3), (0, 1)]",Public
143,"[(4, 2), (0, 1), (1, 0), (2, 3), (3, 2), (0, 4), (2, 4)]","[(1, 0), (3, 1), (0, 0), (2, 4), (1, 2), (0, 3), (4, 2)]",Public
144,"[(3, 4), (4, 4), (0, 0), (4, 2), (0, 2), (4, 1), (1, 4)]","[(0, 3), (1, 1), (4, 3), (2, 3), (4, 0), (0, 2), (1, 2)]",Public
